coment,manifest_atendimento
Muito rápido o atendimento. Parabéns!,elogio
MUITO BOM.,elogio
O trabalho foi executado com sucesso.,elogio
Muito educado e cortes,elogio
"Rápido e eficiente, parabéns!",elogio
"A queixa não é referente ao atendente e sim ao sistema de mapeamento de perfis. Fica muito complicado entendermos os nomes dos perfis e para que servem. Como leigos sabemos que precisamos ter acesso a determinados relatórios, agora saber que para acesso a estes precisamos mapear o perfil ""ZC:/// ARM xxxxx JJJ52"" fica complicado. Deveria haver uma simplificação desta nomeclatura. E o mais esquisito de tudo é ter que pedir perfil para poder solicitar perfil... ",neutro
É inadmissível que precise chamar o 881 para conseguir permissão para realizar curso à distância da Petrobras dentro da Petrobras.,neutro
Muito bom,elogio
parabéns pelo execlente atendimento,elogio
è de se elogiar o domínio que a Cristiane demonstrou ao dar andamento à minha solicitação.,elogio
Excelente no atendimento,elogio
OK,neutro
Excelente atendimento realizado pela Atendente.,elogio
O atendente foi super prestativo e atencioso. Parabéns pelo atendimento.,elogio
Atendimento local rápido e eficiente.,elogio
"não foi possível resolver o chamado porque a extensão jhtml não abriu ou rodou  nos meus navegadores. Segundo consulta na internet, deveria funcionar com  qualquer navegador com determinada configuração  que  o próprio centra verifica.",reclamação
"Atendente atenciosa, demonstrando conhecimento na tarefa. Parabéns",elogio
Muito agradável e atencioso esse rapaz do atendimento. ,elogio
Total 110%,elogio
Serviço eficiente por parte do suporte técnico.,elogio
Não foi resolvido pois é um problema geral e aguardando a equipe  ,neutro
Atendimento rápido e concluído ,elogio
Ótimo atendimento,elogio
EXCELENTE TRABALHO,elogio
"Apos mais de 40 minutos no telefone,a atendente me informou que não poderia me ajudar e informou que eu deveria consultar o manual do siga ou passar um e'mail para o fale conosco do SIGA. Conclusão :Não consegui terminar o RTA em tempo hábil, perdendo o acesso ao documento.",reclamação
"Muito bem atendido e melhor, tudo resolvido.",elogio
Bom. Muito bom,elogio
Solução do problema está em andamento ,neutro
A atendente Sheila se mostrou prestativa e ajudou a resolver o problema.,elogio
"Profissionais sempre dispostos, parabéns!",elogio
"A minha insatisfação se faz por acreditar que todos os funcionários que estão indicados para fazer o curso de Videoconferência Colaborativa Pessoal, já deveriam estar autorizados para uso da Política de Utilização de CI, antecipadamente.",reclamação
ótimo atendimento,elogio
Muito satisfeita,elogio
Fui muito bem atendido com sempre pelo pessoal da TIC,elogio
Atendimento rápido e eficiente,elogio
O apoio local foi rápido e eficiente.,elogio
Ótimo atendimento.,elogio
Agradecemos a excelência no atendimento!,elogio
Bom atendimento,elogio
atendimento imediato com sucesso e copentencia,elogio
ok,neutro
ÓTIMA ATENDENTE,elogio
Ótimo atendimento,elogio
A atendente resolveu prontamente o problema.  Excelente atendimento.,elogio
"Atendente que esqueci de pegar o nome, me atendeu SUPER bem e educado. Ele realmente gosta do que faz. Muito atencioso, obrigada a todos vocês da TIC pelo apoio e atenção! Vocês sempre nos salvam, parabéns! :)",elogio
conhecimento muito bom.,elogio
Agradeço ao técnico Helton pela agilidade no atendimento.,elogio
"MUITO BOM O ATENDIMENTO, RAPIDO E PRECISO",elogio
Ótimo atendimento,elogio
Excelente atendimento,elogio
EXCELENTE ATENDIMENTO,elogio
Excelente atendimento.,elogio
"Perfeito o atendimento, parabéns!!!!",elogio
Excelente atendimento ,elogio
parabenizo pela rapidez no atendimento.,elogio
Fui bem atendido.,neutro
"Foi solicitado a recuperação do arquivamento, porem foi comunicado que ocorreu a perda de todos os dados do arquivamento do notes, ou seja, ocorreu a perda de muitos documentos de processo que estão em andamento. ",reclamação
"Excelência no atendimento via telefone e apóio local com o Técnico de Informática Marcos, lotado em Buracica-Bahia ",elogio
Fui atendido pelo apoio local que resolveu o problema muito rápido!,elogio
"A TIC não sabe ou não pode indicar um software para a minha necessidade. Fui iinformada de que eu teria que dizer o nome do software para ser atendida, pois a busca na listagem de softwares só se dá pelo nome. Será que a TIC não poderia criar uma busca mais eficaz nessa listagem para atender pessoas como eu que não têm esse conhecimento?",reclamação
O acesso não pode ser obtido pelo 881. Recebi orientações.,neutro
O ramalk 811-1389 foi informado indevidamente; o correto é 811-1839.,neutro
ATENDIMENTO EXEMPLAR.,elogio
Problema foi reportado para outro responsável. Estou aguardando o contato.,neutro
"Sempre acessei o módulo treinamento do SAP. Portanto, hoje o TI me avisou que eu tenho que pedir a dois colaboradores do Gás e Energia para que eu possa acessar um módulo que eu sempre acessei. Logo, estou muito insastifeito, pois não consigo falar com essas duas pessoas. ",reclamação
Excelente atendimento!,elogio
Profissional muito gentil e eficaz,elogio
Otimo atendimento.,elogio
"Atendente muito atenciosa e de um timbre de voz muito tranquila também, merece meu elogio.",elogio
Descrição errada e não comparecimento de profissional para realização do serviço,reclamação
Se tenho todos os dadados cadastrados por possuir já a linha para que informar tudo de novo ? Mera burocracia.,reclamação
Excelente,elogio
Agradeço pela rapidez no atendimento,elogio
OBRIGADA PELA AGILIDADE.,elogio
Velocidade e presteza incríveis. Muito bom mesmo!,elogio
"Estou há cerca de trinta minutos com meu computador ""preso"" com o técnico reinstalando os perfis que perdi do SAP. É um absurdo em uma empresa de ponta como a Petrobras, que um gerente perca perfis de uma hora para outra e ninguém, absolutamente ninguém saiba com antecedência que isso iria acontecer e já preparar um ""plano B"". É uma pena que não podemos quantificar o tempo perdido com a falha deste processo. No momento tenho duas plataformas, com várias demandas no SAP e nas quais não posso aprovar. Deixo meu registro do absurdo dessa situação e torço que a TIC possa se planejar melhor no futuro de modo a evitar transtornos como esse. Marcelo Malta",neutro
Ótimo atendimento.,elogio
Ótimo atendimento.,elogio
Fui prontamente atendido por porfissional altamente competente.,elogio
MUITO BOM O ATENDIMENTO.,elogio
Prestador de serviço Utelino se mostrou muito eficiente e prestativo,elogio
Fui informado que o problema é geral e que será necessário aguardar.,neutro
Atendente atencioso e dedicado.,elogio
"EXCELENTE ATENDIMENTO, MUITO OBRIGADO.",elogio
AGRADEÇO PELO ATENDIMENTO QUE ORIENTOU SOBRE O PROCEDIMENTO.,elogio
Não foi possível pelas configurações do computador.,neutro
Muito bom atendimento.,elogio
Muito bom e rápido,elogio
"A Camila foi bastante atenciosa, conseguiu resolver a minha demanda.",elogio
 O atendimento foi realizado com competência e profissionalismo.,elogio
"TIC não possui um padrão de atendimento. Cada chamado, depende do nível de conhecimento de quem atende.",reclamação
O Sr. Thiago foi muito prestativo e cordial.,elogio
Erro no acesso HTTP: IF_HTTP_CLIENT->RECEIVE 1 ICM_HTTP_CONNECTION_FAILED,reclamação
O atendente foi solicito e dirimiu todas as dúvidas com bastante paciência,elogio
"A atendente Priscila,resolveu as dificuldades que esta tendo no carrinho de compras durante alguns dias .    Agradeço a atenção que me foi dada é o meu muito obrigado, a nota que daria seria 1000.   ",elogio
"Ótimo o tempo de atendimento; tirou dúvidas diretamente por telefone e colocou no ""Complemento"" a descrição do pedido, facilitando a identificação!",elogio
"O objetivo de utilizar simultaneamente o monitor e a TV não foi alcançado, e ficou por conta do usuário resolver o problema com a aquisição de um split para solucionar.  ",neutro
A responsável pela chamada sequer procurou saber do demandante o porque da abertura da chamada.,reclamação
"TIC não possui um padrão de atendimento. Cada chamado, depende do nível de conhecimento de quem atende.",reclamação
"Informei a atendente que o TIC local pediu para repassar o chamado para o Sr. Vilela da agilidade, mas a atendente não foi capaz de transferir o chamado.",reclamação
Excelente atendimento,elogio
"não soube me ajudar e nem tinha noção do que fazer, acabou pedindo pra entrar em contato com a agência.",reclamação
Continuo sem acessar o SIOF ,neutro
Além de resolver o atendende me esclareceu outras dúvidas acerca da utilização. Foi muito atencioso. Obrigado.,neutro
ÓTIMO ATENDIMENTO. OBRIGADA! ,elogio
FUI MUITO BEM ATENDIDA. ,elogio
pronto atendimento,elogio
Atendimento muito paciente e determinado a resolver.,elogio
Extremamente rápido!,elogio
rapidez a agilidade,elogio
Excelente atendimento! ,elogio
Parabéns a Sra. Milena Brga pelo atendimento.,elogio
Agradecer pela prestesa da colega.,elogio
estou satisfeito com o atendimento ,elogio
O Atendente não conseguiu resolver o assunto  e forneceu o contato 821-5151 que também não resolveu o meu problema.,reclamação
Problema solucionado de forma rápida,elogio
Agradecimento.,elogio
O funcionário foi cordial e fui muito bem atendido,elogio
"Liguei para reiniciar a senha do meu usuário.  Não liguei para saber se tenho recurso na minha chave ou não mas sim para simplesmente acessarem a transação SU01 e reiniciarem a senha do ZJLE.   Por mais que não tenha o recurso, é simples avaliar que eu TENHO usuário CRIADO no WTP ambiente 900.    Péssimo serviço pois estão condicionados ao SCRIPT de atendimento e no SAP, não existe script padrão...  cada caso é diferente do anterior.  Reset de senha é entrar no mandante e validar  se a chave existe.  Não é para avaliar se tem recurso antes de ver erro no ambiente.",reclamação
"Gostaria de registrar elogia pela atuação da atendente Nicoly, pela presteza, eficiência e eficácia no atendimento. Parabéns!",elogio
Atendente atencioso e educado,elogio
Muito obrigado!,elogio
EXCELENTE ,elogio
"Foi resolvido, porém, devido a alteração de contrato levaram quase quatro meses para resolver o problema, é um absurdo.  ",neutro
A muita demora em resolver os problemas das cftv's da area e ainda existem varias co problemas ainda não resolvidos. ,reclamação
Falta ajustar tamanho da fonte e dados impressos,reclamação
A atendente Daienize é muito paciente no atendimento e tem muita habilidade em conduzir os problemas referentes ao sistema. ,elogio
O tempo para atendimento não esta adequado a nossa demanda e expectativa. Atenciosamente.  ,neutro
O mouse mesmo ligando a chave on/off e trocando ás pilhas ele não esta funcionando. Favor me procurar para analise e solução.  Estarei no Edivit apartir da 27/05/2015 Telefone para contato 998499408.,reclamação
Peço desculpas pela demora. Agradeço ao técnico resposável pelo atendimento. Orientação foi muito útil para andamento do processo de medição de contrato e fundamental para sua conclusao em tempo. ,elogio
"Amanda, o apoio da TIC que me atendeu localmente, foi muito solícita. Está de parabens!",elogio
"Prezados boa tarde,,,, O problema foi sanado com excelência pelo excelente profissional . obrigado , Luiz sms.",elogio
continuo sem poder fazer uso do aparelho.... ,reclamação
Achei o tempo de atendimento demasiadamente longo.,reclamação
Equpe proqtiva.,elogio
"O telefone fixo 12 3912-8858 foi instalado pela Revap e, portanto, a responsabilidade de manutenção é da refinaria. A informação de que o número seria do cliente foi repassada sem que se fizesse uma verificação eficaz junto à área de telecomunicação da refinaria, área que instalou o equipamento.",reclamação
"O problema foi solucionado, mas demorou bastante. Um colega de baia conseguiu remanejar uma licença do Project no mesmo dia.",reclamação
"O tempo de atendimento foi bastante rápido, estou satisfeito.",elogio
Excelente solução!,elogio
A atendente se mostrou bem disponível para tentar resolver o problema.,elogio
A CONFIGURAÇÃO PARA UTILIZAR O USB AINDA NAO ESTA CONFIGURADA,reclamação
Ótimo atendimento.,elogio
Problema com solucão parcial.,reclamação
Poderia ter sido resolvido com mais agilidade.,neutro
"Não sei porque concluíram esta solicitação, já que nada foi realizado. A situação continua exatamente a mesma.",reclamação
"Além do simulador OLGA não ter sido corretamente instalado (não está funcionando) a instalação gerou um problema com o EXCEL, que ainda não foi resolvido.",reclamação
Demorou quase uma semana pra configurar a impressora.,reclamação
Muito bom o atendimento,elogio
"Atendente Julio, muito prestativo, ótimo atendimento! Muito obrigada.",elogio
A maquina continua lenta em algumas situações,neutro
"funcionou dentro do sistema petrobras, mas de qualquer maneiro vamos aguardar  teste quando o cliente estiver acessando de casa.",neutro
"Quero Parabenizar o atendimento do senhor Edson Carlos Laurindo, que foi solicito e eficiente em resolver o problema que originou meu chamado. Obrigada. ",elogio
"Pelo menos a princípio tudo foi resolvido , mas uma demanda está acontecendo intermitente que e uma  falha  de comando seja via teclado e/ou mouse , ou seja, por exemplo: acionando via mouse para fechar ou abrir uma planilha , salvar ou coisa assim não há a resposta esperada assim também acontecendo com comandos do teclado . Não sei se isso está vinculado a formatação e a atualização dos sistemas e/ou aplicativos utilizados ou é um problema do dispositivo ?",neutro
Atendimento rápido e eficiente.,elogio
ATE O MOMENTO NÃO FOI ATUALIZADO O LOCALIZADOR DE PESSOAS.,reclamação
excelente,elogio
O rádio voltou a funcionar ''misteriosamente'' no dia seguinte.,reclamação
A nota é para o apoio local. ,elogio
"Excelente atendimento. Muito paciente e prestativo. Apesar de haver possibilidade de instalar o programa, hou a ajuda para resolução do problema com outra alternativa.",elogio
Eu só esqueci de pedir para manter a mesma versão... mas funcionou...,neutro
Agradeço ao Jean pelo  excelente atendimento prestado.,elogio
"Destaco a presteza da equipe, que disponibilizou o servidor em 24 horas para que pudéssemos reconfigurar rede e acesso SAN para disponibilizar o serviço novamente.",elogio
Atendimento superou expectativa,elogio
"A TIC precisa uirgentemente criar um procedimento para transferências de empregados. Foram gastos 90 minutos para que os dados da área de trabalho do Notes fossem recuperados, a exemplo dos arquivos do drive U. A Companhia orienta que os dados de trabalho sejam gravados em rede e quando da transferência do empregado os dados são removidos? Mutio tempo perdido para algo que poderia ser bem simples de se resolver, migrando de servidor todos os arquivos, como veio de fato a ser feito.",reclamação
"Atendimento muito cordial e rápido. Gostei do sistema token virtual, muito prático.",elogio
ok,neutro
A pessoa responsável pelo atendimento demonstrou interesse e iniciativa.,elogio
Solicitação atendida de forma eficiente e eficaz,elogio
Resolvido de forma eficiente e rapida.,elogio
"Acho que houve um problema de comunicação. O micro continua problemático e eu já abri vários chamados para tentar resolver o mesmo problema. Deste atendimento específico o técnico deveria vir constatar o problema de hardware detectado por outro técnica por acesso remoto. O parecer diz que o micro está ok, mas o problema já voltou e levo um longo tempo para realizar cada tarefa no micro. Resumindo: eu preciso de uma nova máquina urgente!   ",reclamação
"Foi rodado uma rotina pela TIC e todos os meus perfis SAP foram apagados. Apesar do contato e verificado que o critério adotado estava inconsistente os perfis não foram restaurados, ficando a cargo do próprio usuário solicitar novamente os perfis. Também foi informado que apenas seria possível restaurar com a aprovação do gerente imediato, o que não parece verdade visto que os perfil para solicitação do GPAS foi restaurado pelo próprio atendimento após ser verificado um erro na solicitação expedida pelo atendimento.  Tampouco foi encaminhada ao gerente imediato solicitação anterior para revalidação do perfil de modo a que não houvesse o ocorrido.",reclamação
Atendimento ultra rápido,elogio
"O pacote ofice 2013 foi instalado com sucesso, mas o Lotus Notes também foi atualizado sem que eu tivesse pedido. Até aí, tudo bem, mas o Notes veio com alguns defeitos (ex. não conseguia vizualizar a área de trabalho) o que me motivou a abrir novos chamados para consertar. Ainda não conclui o conserto do Notes, conforme seja vou ter que pedir para instalar a versão antiga.",reclamação
Meu computador não melhorou.,reclamação
"Estou a 3 dias tentando efetuar uma simples exclusão do campo ""assistente"" e segui o procedimento que me foi informado pela STIC.  Mesmo assim, paraa minha surpresa, a exclusão passou a ser ""troca de titularidade"".  Uma completa deturpação do que fi solicitado  O Chamado foi para incluir umapessoa por um período ""X"".  Passado o período ""X"" solicitei a exclusão e copiei o GE titular informando do seu ""de acordo"".  Fui informada pela STIC que não bastava cópiá-lo mas sim receber o de acordo do próprio.  O que foi feito.  Mas para a minha surpresa, a STIC conclui o chamado informando que é preciso que a OG mande as informações sobre troca de titularidade.  Por favor, peço a atenção para o que foi pedido. e Não concordo com o fechamento deste chamado",reclamação
Muito bem atendida pelo apoio local da TIC. Atenciosos e prestativos.,elogio
"Foi atendido parcialmente, mas acredito que não foi falha do atendende.",neutro
BOM ATENDIMENTO,elogio
ÓTIMO ATENDIMENTO,elogio
"O profissional Carlos Teles (ub1t) entrou em contato com o 881 para programar a desinstação dos equipamentos que formam a rede da sala com semanas de antecedência . O 881 informou que não se pode programar. O 881 informou que deveríamos solicitar na véspera do dia que gostaríamos do serviço ou então no mesmo dia. Solicitamos, então, na Véspera. No dia seguinte recebemos muitos questionamdentos do setor responsável pela retirada dos equipamentos, como se tivessemos ""deixado para última hora"".",reclamação
"Atendimento eficaz, com um bom conhecimento do atendente.",elogio
A EQUIPE É NOTA DEZ.,elogio
Atendeu com rapidez e presteza!,elogio
muito bom atendimento,elogio
Ótimo atendimento do Técnico Eduardo. Parabéns à equipe TIC. Vcs têm um ótimo time de profissionais.,elogio
"consultor: claro e competente, característica da equipe.  Muito obrigado",elogio
"Foi solicitado acesso às conferências do ano de 2014, as quais por algum motivo foram removidas, pois eu tinha o acesso. Não foi por falta de uso pois acesso frequentemente.Principalmente a de Escuros TCP.",reclamação
A demand foi encaminhada para outra área responsável pelo atendimento específico.,neutro
"Solicitação totalmente atendida, satisfação plena.",elogio
atendimento 100%,elogio
sem comentario,neutro
Ótimo atendimento,elogio
Excelente atendimento com o problema 100% resolvido.,elogio
Houve um pronto atendimento e de realização rápida e eficaz.,neutro
Esta atualização foi completada com exceto .,neutro
Excelente,elogio
Técnico ofereceu todo apoio e esteve sempre a disposição durante todo período do atendimento.,neutro
Agradeço ao Jean pelo excelente atendimento prestado.,elogio
problema resolvido,neutro
ATENDIMENTO REALIZADO COM SUCESSO PELO FUNCIONÁRIO ROSSINE SOUZA ROCHA,elogio
muita educada atendete,elogio
Muito atencioso! Resolveu tudo com muita boa vontade e rapidez!,elogio
os atendentes foram super solicitos e receptivos a necessidade da tarefa,elogio
Excelente atendimento.,elogio
Excelente atendimento,elogio
FUI MUITO BEM ATENDIDO!!,elogio
Imbecis... eu não preciso de manual... quero o desboqueio pois não tenho a senha,reclamação
Não recebi nenhum retorno a respeito dessa solicitação. Não foi atendida em nada.,reclamação
O atendente foi simpático e solícito e resolveu também um problema do cabo de rede que não estava na solicitação inicial.,elogio
ATENDIDO,neutro
"Ao conectar meu pendrive a um micro na P-52, apareceu o arquivo ""Documento.exe"" com o ícone de pasta. Consigo deletar o mesmo. Porém, ele reaparece no pendrive a cada nova conexão.  O antivírus não detectou nada e foi sugerido, pela TIC, que o Apoio Local acessasse o micro. Contudo, vale lembrar que não há este serviço a bordo.",reclamação
Solução fornecida conforme solicitado,neutro
Atendimento satisfatório.,elogio
Atendimento rápido e com solução devida.,elogio
Excelente trabalho da colega.,elogio
Atendente muito eficiente na solução do problema. Parabéns!,elogio
Profissional foi muito atencioso e dedicado. Serviço necessitou muita perseverança.,elogio
"EM CONSULTA A UM COLEGA DE TRABALHO QUE USA O ARIS COM FREQUÊNCIA ENQUANTO ESPERA O RETORNO DO CHAMADO NO 881, O MESMO ME INFORMOU QUE O ACESSO MUDOU JÁ FAZ UM TEMPO E AGORA É FEITO PELA CHAVE E SENHA DO USUÁRIO.  NO 881 O ATENDENTE DISSE QUE CONSULTOU O PROCEDIMENTO E O QUE ME FOI PASSADO DE INSTRUÇÃO DEMONSTRA QUE O MESMO  NÃO ESTAVA ATUALIZADO COM ESSA INFORMAÇÃO. SE ESTIVESSE, MEU PROBLEMA TERIA SIDO RESOLVIDO NAQUELE  MOMENTO. NÃO ESTOU FAZENDO CRÍTICA AO PROFISSIONAL POIS O ATENDIMENTO FOI ÓTIMO, MAIS SIM A DESATUALIZAÇÃO DO PROCEDIMENTO QUE NÃO CONSTAVA ESSA INFORMAÇÃO. ",elogio
Muito competente todos que me atenderam nesse setor. Satisfeita com o atendimento.,elogio
MUITO RAPIDO O ATENDIMENTO.,elogio
Informo que o atendimento foi parcial. Foi entregue 2 resmas de papel sulfilte A3 e 02 resmas de papel sulfite A4.,reclamação
ÓTIMO ATENDIMENTO!!!,elogio
Atendido rapidamente.,neutro
OK. Fui atendido de imediato,elogio
"Após analisar possíveis soluções para o problema, a atendente disse que a solução seria desinstalar o Adobe e reinstalá-lo, situação esta que seria demasiadamente demorada e eu não poderia dispender este tempo naquele momento.",reclamação
Sou agilidade e não consegui apoio para especificar a compra de um hd externo. Sou responsável pelas comprar e sempre tinha contado com o 881 nas especificações de itens de ti,reclamação
"O atendimento foi muito cordial e com foco em atender a solicitação, apesar de todas as dificuldades encontradas.",elogio
"A ocorrência foi resolvida, o atendimento foi ótimo, mas o ramal correto é 751-4060",elogio
Rapido e eficiente.,elogio
"A solução implementada pelo técnico da TIC, de fazer o download do arquivo "".cal"" e incluir na agenda do Notes, só traz os dados das atividades existentes. A melhor opção para que novos eventos também venham para a agenda é copiar a URL do CONECTE, criar uma nova agenda no Notes, tipo iCal, marcar como particular, colocar a chave e senha, e colar a URL trocando o protocolo de ""webcals://"" para ""https://"".",reclamação
Total 110%,elogio
Atendimento perfeito! Parabéns pela agilidade.,elogio
"Estou muitíssimo satisfeito, pois com rapidez e sem perder a cordialidade, os colegas do 881 resolveram meu problema em um dia.",elogio
MUITO BEM ATENDIDO,elogio
Fui muito bem atendido.,elogio
O problema se resolveu sozinho antes da chegada do técnico.,neutro
Atendimento muito eficaz.,elogio
AINDA AGUARDO ATENDIMENTO,reclamação
Muito obrigado,elogio
Excelente atendimento pela profissional.,elogio
obrigado,elogio
"O sistema voltou a funcionar, caso dê problema abrirei outro chamado.",neutro
Atendimento rápido e eficaz,elogio
"O problema não foi resolvido nesta comunicação por culpa exclusivamente minha, o atentende mostrou-se solícito e paciente todo o tempo.",neutro
Atendimento exemplar.,elogio
A atendente Ana Carolina foi muito atenciosa e competente.,elogio
Atendente competente e atencioso. Excelente.,elogio
Atendente competente e atencioso. Excelente.,elogio
"tratava-se de prestação de contas INTERNACIONAL a atendente me deixou na espera sem responder e ainda apagou meu historico da OBSERVAÇÃO, ATENDIMENTO PESSIMO SÓ ME PREJUDICOU, FAVOR DIRECIONAREM AO NIVEL ACIMA QUANDO NÃO SOUBEREM O QUE ESTÃO FAZENDO",reclamação
Registre-se o reconhecimento pela empatia e disponibilidade do atendente na resolução do problema.,elogio
"Precisa contatar o LOTUS NÍVEL 3 , horário comercial fim resolver problema acesso GALO",neutro
O atendente conseguiu descobrir a solução que acho que muitos não conseguiriam. Foi muito empenhado na solução.,neutro
PARA RESOLVER O PROBLEMA DE ACESSO AO GALO FUI ORIENTADO CONTATAR O LOTUS NO HORÁRIO COMERCIAL E SOLICITAR O REDICIONAMENTO PARA O NÍVEL 3,neutro
"O plugin do banco foi instalado, mas ainda não consigo acessar o banco por navegador aberto no ambiente virtual CITRIX",neutro
Resolução rápida e eficaz do problema.,elogio
atendimento eficaz.,elogio
"Eram vários os problemas e o atendente conseguiu resolver quase todos, menos a atualização do Microsoft Application Visualization 4.6. Abri um chamado específico para isso.",neutro
Fui muito bem atendido.,elogio
Excelente atendimento.,elogio
"Atendimento excelente, resolução 100%",elogio
Agradeço a atenção sempre dedicada.,elogio
"Bom dia,  Obrigado,  Mais rápido que o esperado.",elogio
funcionário foi grosso ao atender o chamado.,neutro
Agradecer ao excelente atendimento do técnico que me atendeu,elogio
MICRO CONTINUA APRESENTADNDO GRANDE LENTIDÃO,neutro
"Não resolveu, porque o problema é no servidor. A TIC aqui já está tomando as providências.",neutro
Foi feito DIP para solução,neutro
não era um problema no computador; o swich queimou.,neutro
Agradeço a presteza na solução e rapidez.,elogio
Excelente atendimento. Rápido e eficaz! Parabéns !,elogio
Excelente atendimento.,elogio
Venho atrvés desta agradecer pelo atendimento pela pessoa do Sr. Lucas desta unidade da TIC.,elogio
Atendimento pessoal excelente.,elogio
Excelente!,elogio
ATENDIDO,neutro
Solicitação feita as 08:30 h e atendimento somente à tarde (13:30h).,neutro
Agradeço a agilidade neste atendimento.,elogio
Não foi possível o resolver o problema devida à naecessidade do solicitante se ausentar.,neutro
Foi muito bem auxiliada nesse atendimento. O técnico se mostrou Cortez e claro nas explicações,elogio
Funcionário muito atencioso.,elogio
O sistema melhorou mas continua lento. Parece haver problema de rede. Outros colegas da mesma sala relatam o problema. O atendimento foi de excelente qualidade.,neutro
Só achei o tempo necessário para resolução alto. Foi mais de meia-hora na resolução do problema,reclamação
"Parabéns pela rapidez, eficiência e eficácia.",elogio
"O problema referido foi resolvido, mas preciso entrar no site do www.bradescocustodia.com.br todos os dias para baixar extratos relativos ao meu trabalho e consta na tela erro que não acontecia antes de mexer nas configurações do firefox, favor resolver com urgência essa questão.",reclamação
"Embora meu problema não tenha sido resolvido, uma vez não tratar-se da área de atuação do referido atendimento.  O atendente passou as orientações de coo procceder.",neutro
Atendente muito atencioso e prestativo,elogio
Atendimento muito bom,elogio
Atendimento muito rápido e eficiente.,elogio
"O profissional fez um bom e rápido atendimento, porém o computador é antigo, apresenta problemas de hardware e agora já está apresentando limitação quanto a espaço em hd.A troca do computador seria uma boa opção.",elogio
Atendimento realizado com muita eficiencia.,elogio
"Muito obrigada pela atenção, atendimento excelente",elogio
Excelente atendimento. Rápido e eficiente.,elogio
"Atendimento muito bom excelente, parabéns para o funcionario",elogio
Ótimo!!,elogio
"Atendente atencioso, calmo e prestativo.",elogio
Programa está funcionando perfeitamente.,neutro
Muito obrigado!,elogio
Excelente atendimento.,elogio
MICRO CONTINUA APRESENTADNDO GRANDE LENTIDÃO,neutro
"Estou muitíssimo satisfeito, pois com rapidez e sem perder a cordialidade, os colegas do 881 resolveram meu problema em um dia.",elogio
Muito bom o atendimento.,elogio
perfeito parabéns!!!,elogio
" Atendimento muito bom, tempo recorde.",elogio
Ótimo atendimento.,elogio
Atendimento muito bom. Resolveu.,elogio
fui atendido prontamente e problema resolvido,elogio
"Parabéns pelo atendimento mas, continuem melhorando. SUCESSO.",elogio
Eficiente e Eficaz. Grato!,elogio
Não fui eu que solicitei.,neutro
Atendimento rápido e eficiente.,elogio
Excelente atendimento.,elogio
Reen caminhado para autorização vi aramal 8214895,neutro
"Tenho certeza abosluta que essa pesquisa não vai gerar nenhum resultado! consegui resolver sozinho a dúvida que tinha sobre um gráfico. A ""agilidade"" na verdade não existe. Entrei em contato com a chave DT85 e não tem nada de agilidade. Trata-se de um empregado da TIC e somente. Lamentável!!!!!!!",reclamação
Atendimento rápido e eficiente,elogio
Exclenete o atendimento.,elogio
"O painel estava manchado e eu reportei, pedi  a autirização para passar um pano no vidro com alcool ou agua, que eu pediria a mulher da limpeza, mas falaram para aguardar a assistência técnica. Assi o fez. Era um serviço que não precisaria de serviço técnico, poderia ser facilmente resolvido.",reclamação
Funcionária descortez.,reclamação
Elogios à capacitação e educação do atendente. Merece registro.,elogio
"Sim, Tudo Resolvido.obrigado",elogio
bom trabalho,elogio
Excelente!,elogio
Atendimento ágil e assertivo. ,elogio
Excelente atendimento.,elogio
"Apesar da explicação do operador, o problema persistiu após intervenção.",reclamação
Atendimento rápido e eficiente!,elogio
"Parabéns pelo atendimento, rápido e eficaz!",elogio
"Apos uma atualizacao de senha, ha quase dois meses, o acesso por computador remoto, atrasves da rede http://saensc.petrobras.com.br/Citrix/XenApp/Site/default.aspx, aparecendo a seguinte mensagem:  ""Sua chave nao possui acesso a nenhuma aplicacao no servico SAEN/SAEX. Entre em contato com sua agilidade para solucao deste problema."". Fui direcionado para entrar em contato com outro profissional.",reclamação
Está em curso o atendimento,neutro
excelente atendimento,elogio
Obrigado!,elogio
"Retorno imediato, e bastante objetividade.",elogio
o atendimento foi ótimo ,elogio
OBRIGADO A TIC,elogio
"Me parece que o problema está na inteface ""Portal SPT "" x Adobe, se possível solicito atendimento presencial pelo pessoal local. Grato.",neutro
ok,neutro
Muito bom atendimento!,elogio
ok,neutro
"Ótimo atendimento, problema resolvido sem demora.",elogio
Suporte muito eficiente. Solução foi dada com bastante rapidez.,elogio
Atendimento perfeito!,elogio
OBRIGADO.,elogio
perfeito,neutro
O melhor atendimento de video conferência que tive.,neutro
"A solução para este incidente beira a infâmia! Parece provocativa a mensagem que recebi por correio 22/05/2015 15:06: ""    Prezado Sr Rodrigo,     Em atendimento ao registro INC000023126090, solicitando verificar o roaming internacional  a  linha  21999328232, informamos que o serviço esta ativo na linha para utilização de voz e dados em 22/05/2015 válidos por 30 dias, conforme solicitado através do registro INC000023112081.    Estamos finalizando o registro INC000023126090.       http://atendimento.petrobras.com.br  Telefone interno: 881 - Opção 3 - Telecomunicações  Telefone externo: 0800 881 0881"".               Em nenhum momento do registro INC000023112081 foi mencionada a ativação imediata do roaming. Não admito a solução recebida para este registro INC000023126090.",reclamação
Ótimo atendimento.,elogio
O atendimento foi ótimo e o atendente muito prestativo,elogio
Excelente!,elogio
